SYMBOL	ENTREZID	ENSEMBL	log2FoldChange	pvalue	padj	stat
A1BG	1	ENSG00000121410	0.107326554537805	0.88824722176452	NA	0.140522442626264
A1BG-AS1	503538	ENSG00000268895	-0.0212228394933724	0.956963727956488	0.991664819194019	-0.0539641484955877
A1CF	29974	ENSG00000148584	NA	NA	NA	NA
A2M	2	ENSG00000175899	0.245821237307008	0.8876793866184	NA	0.141241216178255
A2M-AS1	144571	ENSG00000245105	0.113983712048964	0.940644691115506	NA	0.0744595941015592
A2ML1	144568	ENSG00000166535	0.218652851272547	0.0956281907153553	0.494801033120073	1.66642803531727
A2MP1	3	ENSG00000256069	NA	NA	NA	NA
A4GALT	53947	ENSG00000128274	-0.0206103620703853	0.876147013462913	0.971576915769841	-0.155855384504336
A4GNT	51146	ENSG00000118017	NA	NA	NA	NA
AA06	100506677	ENSG00000265544	NA	NA	NA	NA
AAAS	8086	ENSG00000094914	0.164561357012442	0.223966792420821	0.679294021056007	1.21604759337968
AACS	65985	ENSG00000081760	0.145064865449364	0.204018436642735	0.654902504555766	1.27018585034371
AACSP1	729522	ENSG00000250420	-0.53250865260107	0.681599429869511	NA	-0.410281542970493
AADAC	13	ENSG00000114771	1.22270396953354	0.372940886153178	NA	0.890978161583643
AADACL2	344752	ENSG00000197953	NA	NA	NA	NA
AADACL3	126767	ENSG00000188984	NA	NA	NA	NA
AADACL4	343066	ENSG00000204518	NA	NA	NA	NA
AADAT	51166	ENSG00000109576	0.0188377471500402	0.943707146773718	0.988684029319678	0.0706112622947999
AAGAB	79719	ENSG00000103591	-0.130492218215372	0.190880829622732	0.642680560035264	-1.30797782823123
AAK1	22848	ENSG00000115977	-0.29575864085499	0.00839863504366567	0.143122762242695	-2.63560938834432
AAMDC	28971	ENSG00000087884	-0.276889401531872	0.146519786859007	0.584763101446276	-1.45193461407724
AAMP	14	ENSG00000127837	0.164700768767985	0.125570513573287	0.547004615663532	1.53180519562732
AANAT	15	ENSG00000129673	-1.70911197213244	0.673953711994018	NA	-0.420728000814512
AAR2	25980	ENSG00000131043	-0.1231979121149	0.37962586794229	0.800272633934559	-0.878585855166885
AARD	441376	ENSG00000205002	NA	NA	NA	NA
AARS2	57505	ENSG00000124608	0.0994365954972208	0.43142908929288	0.820788410952714	0.786748529356706
AARSD1	80755	ENSG00000266967	-1.1184106126563	0.784016624778764	NA	-0.274088482366288
AASDH	132949	ENSG00000157426	-0.130541057782378	0.499885828382854	0.85404874439036	-0.674669402418754
AASDHPPT	60496	ENSG00000149313	-0.395352196457196	0.0108721159994452	0.16565900421261	-2.5467825398142
AASS	10157	ENSG00000008311	-0.0229344394169515	0.880938789842897	0.972262740293281	-0.149779238495736
AATF	26574	ENSG00000275700	0.24151323390051	0.0321509566205843	0.306609719059738	2.14252876360425
AATK	9625	ENSG00000181409	0.0548889574236892	0.927967496104578	NA	0.0904023414515503
ABAT	18	ENSG00000183044	0.0277806900831514	0.84614937120384	0.963051815515841	0.194033857516794
ABCA1	19	ENSG00000165029	-0.0615049021593271	0.569897053272141	0.884929044190143	-0.568203119844807
ABCA10	10349	ENSG00000154263	0.169344077013404	0.650043796135728	0.909172399839141	0.453701348604279
ABCA11P	79963	ENSG00000251595	0.542139181189669	0.20621943636019	0.658522873382749	1.26402950689609
ABCA12	26154	ENSG00000144452	0.0081353011863371	0.940911620128581	0.988304286128398	0.0741241236928762
ABCA13	154664	ENSG00000179869	-0.372503467102863	0.278632457886127	0.725738948601794	-1.08339652400381
ABCA17P	650655	ENSG00000238098	NA	NA	NA	NA
ABCA2	20	ENSG00000107331	-0.00557190051509278	0.975747007549711	0.99405257554809	-0.0304013006726992
ABCA3	21	ENSG00000167972	0.173138034630997	0.74273786716492	0.936993952404735	0.328229866830076
ABCA4	24	ENSG00000198691	0.0984808167357009	0.886094088818351	NA	0.143248295473802
ABCA5	23461	ENSG00000154265	-0.368051503151513	0.134111849819751	0.563274682395372	-1.49808237448771
ABCA6	23460	ENSG00000154262	0.611671057004932	0.555798453002768	NA	0.589093649826396
ABCA7	10347	ENSG00000064687	0.087493843463183	0.599063295334891	0.895838595602458	0.525748018957152
ABCA8	10351	ENSG00000141338	1.56622570983538	0.540537118754272	NA	0.612000965521761
ABCA9	10350	ENSG00000154258	-0.242695775925922	0.692689668781642	0.919697397056634	-0.395207621016435
ABCB1	5243	ENSG00000085563	-1.1184106126563	0.784016624778764	NA	-0.274088482366288
ABCB10	23456	ENSG00000135776	0.159894443733847	0.381365144795136	0.801006854331778	0.875383738520089
ABCB11	8647	ENSG00000073734	-0.552850693379631	0.2683644713057	0.717053131905229	-1.10683685364889
ABCB4	5244	ENSG00000005471	0.0492900575214545	0.989093395950142	NA	0.0136698267673147
ABCB5	340273	ENSG00000004846	NA	NA	NA	NA
ABCB6	10058	ENSG00000115657	-0.220089655502228	0.108022596353337	0.519001637345209	-1.60714485162049
ABCB7	22	ENSG00000131269	-0.0617576403716747	0.680888110529282	0.916363677539688	-0.411251524887706
ABCB8	11194	ENSG00000197150	0.28995768327789	0.133634683685659	0.562926720567716	1.49992170964486
